date,trade_count,total_pnl,avg_pnl,median_pnl,win_rate,total_volume,mean_abs_pnl,classification
2023-01-05,3,0.0,0.0,0.0,0.0,0.0,0.0,Fear
2023-05-12,9,0.0,0.0,0.0,0.0,0.0,0.0,Neutral
2024-01-01,18,-129.53146,-7.196192222222223,0.0,0.05555555555555555,0.0,38.49364355555556,Greed
2024-01-02,6,0.0,0.0,0.0,0.0,0.0,0.0,Greed
2024-01-03,137,8244.241409,60.176944591240876,27.04384,0.9343065693430657,0.0,60.176944591240876,Greed
2024-01-04,77,2507.963406,32.57095332467532,0.54675,0.5454545454545454,0.0,33.607069948051944,Greed
2024-01-05,14,0.0,0.0,0.0,0.0,0.0,0.0,Greed
2024-01-06,25,91.510419,3.66041676,0.0,0.36,0.0,3.66041676,Greed
2024-01-07,64,5065.839308,79.1537391875,0.0,0.40625,0.0,79.1537391875,Greed
2024-01-08,57,167.080017,2.9312283684210527,0.0,0.07017543859649122,0.0,3.287960894736842,Greed
2024-01-09,12,137.433093,11.452757750000002,0.0,0.4166666666666667,0.0,11.452757750000002,Extreme Greed
2024-01-10,4,0.0,0.0,0.0,0.0,0.0,0.0,Greed
2024-01-11,23,1040.475736,45.238075478260875,0.0,0.2608695652173913,0.0,46.00006417391304,Extreme Greed
2024-01-12,416,40886.364494,98.28453003365385,0.5600160000000001,0.53125,0.0,98.5767491201923,Greed
2024-02-01,17,783.979116,46.11641858823529,0.0,0.47058823529411764,0.0,75.85691517647058,Greed
2024-02-02,42,456.423473,10.867225547619048,0.0,0.30952380952380953,0.0,17.306328690476192,Greed
2024-02-03,31,230.90060000000005,7.448406451612905,1.3124,0.6774193548387096,0.0,100.5977333548387,Greed
2024-02-04,41,883.760812,21.555141756097562,0.0,0.2926829268292683,0.0,21.555141756097562,Greed
2024-02-06,93,192.906947,2.074268247311828,0.0,0.3655913978494624,0.0,2.074268247311828,Greed
2024-02-07,18,2421.253116,134.514062,10.35,0.7222222222222222,0.0,134.514062,Greed
2024-02-08,63,782.3681909999999,12.418542714285714,0.0,0.2698412698412698,0.0,12.418542714285714,Greed
2024-02-09,2,0.0,0.0,0.0,0.0,0.0,0.0,Greed
2024-02-10,4,0.0,0.0,0.0,0.0,0.0,0.0,Greed
2024-02-11,2,0.0,0.0,0.0,0.0,0.0,0.0,Greed
2024-02-12,270,18489.604313,68.48001597407408,0.0,0.4074074074074074,0.0,68.59823227037037,Greed
2024-03-01,67,866.015507,12.925604582089552,0.0,0.417910447761194,0.0,14.849107746268658,Extreme Greed
2024-03-02,56,223.30918699999998,3.9876640535714283,0.0,0.10714285714285714,0.0,15.796827375000001,Extreme Greed
2024-03-03,79,8361.086245,105.83653474683545,15.04116,0.6835443037974683,0.0,105.83653474683545,Extreme Greed
2024-03-04,4,126.7884,31.6971,0.0,0.25,0.0,31.6971,Extreme Greed
2024-03-05,36,5306.017045,147.3893623611111,0.0,0.4722222222222222,0.0,148.15955569444444,Extreme Greed
2024-03-06,70,562.808208,8.040117257142859,4.63499,0.6285714285714286,0.0,8.040117257142859,Extreme Greed
2024-03-07,18,1118.387284,62.132626888888886,0.0,0.2222222222222222,0.0,62.132626888888886,Extreme Greed
2024-03-08,37,464.1897,12.545667567567568,0.0,0.02702702702702703,0.0,12.545667567567568,Extreme Greed
